X2	Y2
0.6563	-0.4427
0.3244	-0.5508
0.452	-0.0104
0.6563	0.9624
0.6563	-0.2806
0.6818	-0.3347
0.6052	0.2058
0.2222	0.1517
0.6563	-0.1185
0.3499	-1.3074
-0.0587	-0.5508
-0.3141	-0.767
-0.263	-1.6857
-0.1608	-0.0644
0.2732	-0.1725
0.3754	-1.8478
0.2732	-0.6049
0.0945	0.1517
0.401	0.1517
0.4265	-0.5508
1.2692	-2.1181
0.2478	-0.5508
0.8096	-0.9832
1.2182	0.4219
0.0434	-0.7129
0.2732	-1.9019
0.5797	-0.7129
-0.0842	-0.4968
0.2732	-2.064
0.6052	0.3139
0.452	1.5568
0.0945	-0.7129
0.4776	-0.8751
0.0945	0.0436
-0.0842	0.7462
0.1456	-1.3074
0.2732	-0.1185
0.9372	-1.4155
0.069	-1.5236
0.5542	-1.3615
-0.3141	-1.1453
0.0179	-1.8478
0.5031	-0.7129
0.452	0.2598
0.5031	1.1245
0.401	-0.1725
0.069	-1.2534
