X2	Y2
0.6563	-1.1993
0.0434	1.3947
0.2222	-0.2806
0.5286	-0.7129
0.452	0.1517
0.5031	0.6922
0.12	0.53
0.2732	-0.6589
0.12	-0.767
0.8096	-1.0912
-0.1864	-1.9019
0.2478	-0.2806
0.3754	0.9083
0.6563	0.0977
-0.0842	-0.1725
-0.263	-1.0912
-0.0842	-1.1453
0.1456	-2.1181
0.1711	-1.6857
0.5797	-0.9291
