PTelj;PBoldog;PMagany;KClus6;KClus7;KClus8;KClus9;KClus10;SPSS7
26;10;0;2;2;2;2;2;6
26;9;0;2;2;2;2;2;6
21;5;5;3;7;3;5;5;1
24;8;8;1;1;1;1;1;7
27;9;2;2;2;2;2;2;6
22;9;0;4;4;4;4;4;2
6;3;5;5;6;7;8;9;5
26;9;3;2;2;2;2;6;6
26;7;7;1;1;1;1;1;7
15;3;7;6;6;7;8;9;3
22;7;2;4;4;4;4;4;2
17;3;2;5;5;5;6;7;4
24;5;6;3;7;8;5;10;7
17;3;9;6;6;7;8;9;3
25;7;7;1;1;1;1;1;7
28;10;1;2;2;2;2;2;6
15;2;8;6;6;7;8;9;3
27;10;0;2;2;2;2;2;6
21;8;2;4;4;4;4;4;2
24;8;1;4;4;4;4;4;2
24;3;8;3;7;8;9;10;1
19;2;8;6;6;8;9;10;3
26;7;4;1;1;1;1;6;7
24;7;3;4;4;4;4;6;2
24;8;5;1;1;1;1;6;7
28;9;5;1;1;1;1;6;7
24;9;2;2;2;4;4;4;2
22;8;6;1;1;1;5;5;1
29;10;0;2;2;2;2;2;6
6;3;9;6;6;7;8;9;5
28;9;2;2;2;2;2;2;6
27;8;8;1;1;1;1;1;7
14;2;8;6;6;7;8;9;3
22;8;5;1;1;1;5;5;1
21;5;5;3;7;3;5;5;1
27;8;0;2;2;2;2;2;6
24;7;3;4;4;4;4;6;2
28;10;0;2;2;2;2;2;6
27;9;0;2;2;2;2;2;6
28;9;0;2;2;2;2;2;6
26;8;1;2;2;2;4;4;6
22;10;0;2;4;2;2;4;2
23;10;0;2;2;2;2;2;2
24;8;1;4;4;4;4;4;2
11;4;9;6;6;7;8;9;3
29;10;0;2;2;2;2;2;6
28;10;1;2;2;2;2;2;6
14;7;0;5;5;6;7;8;4
19;3;8;6;7;8;9;10;3
25;7;2;4;4;4;4;4;2
30;10;0;2;2;2;2;2;6
24;9;0;2;2;2;2;4;2
24;9;2;2;2;4;4;4;2
27;7;5;1;1;1;1;6;7
26;9;1;2;2;2;2;2;6
27;10;0;2;2;2;2;2;6
22;8;1;4;4;4;4;4;2
26;1;4;6;7;8;9;10;7
19;5;3;5;5;5;6;7;4
19;5;2;5;5;5;6;7;4
24;7;1;4;4;4;4;4;2
25;7;1;4;4;4;4;4;2
19;7;5;3;3;3;5;5;1
25;8;8;1;1;1;1;1;7
22;0;10;6;6;8;9;10;1
24;10;1;2;2;2;2;2;2
29;10;0;2;2;2;2;2;6
25;8;5;1;1;1;1;6;7
24;7;0;4;4;4;4;4;2
21;7;3;4;4;4;5;5;2
21;9;4;4;4;6;5;5;1
26;9;1;2;2;2;2;2;6
24;8;1;4;4;4;4;4;2
21;2;1;5;5;5;6;7;4
23;7;2;4;4;4;4;4;2
27;9;2;2;2;2;2;2;6
25;9;0;2;2;2;2;2;2
25;10;0;2;2;2;2;2;6
23;8;0;4;4;4;4;4;2
22;7;2;4;4;4;4;4;2
22;7;7;3;3;3;5;5;1
22;7;5;3;3;3;5;5;1
19;8;5;3;3;3;5;5;1
19;8;5;3;3;3;5;5;1
25;8;0;2;2;4;4;4;2
19;9;1;4;4;6;7;8;4
25;9;1;2;2;2;2;2;2
26;8;2;2;2;4;4;4;6
30;10;0;2;2;2;2;2;6
27;10;7;1;1;1;1;1;7
21;8;0;4;4;4;4;4;2
22;9;2;4;4;4;4;4;2
26;9;8;1;1;1;1;1;7
24;8;1;4;4;4;4;4;2
19;5;4;3;5;3;5;5;1
24;7;0;4;4;4;4;4;2
25;10;2;2;2;2;2;2;6
25;10;0;2;2;2;2;2;6
11;2;10;6;6;7;8;9;3
