index,Neme,Age,PTelj,PBoldog,PMagany,MKA3,KKA7,age60
1687,1,72,19,8,1,3,4,1
1688,1,61,18,8,2,3,4,1
1690,1,47,27,8,0,2,2,0
1691,1,46,19,8,0,3,4,0
1695,2,59,24,8,0,2,4,0
1696,1,46,27,9,0,2,2,0
1710,1,47,26,8,0,2,2,0
1713,1,56,27,10,0,2,2,0
1720,1,68,26,8,2,2,2,1
1723,2,62,25,9,2,2,2,1
1724,1,34,16,4,3,3,5,0
1726,1,66,20,7,1,2,4,1
1728,2,41,25,7,6,1,1,0
1732,1,59,26,8,1,2,2,0
1737,2,50,26,8,8,1,1,0
1738,1,45,28,9,0,2,2,0
1739,2,61,24,8,7,1,1,1
1740,1,75,21,3,7,3,7,1
